Dyrkes,Position,Kvaerdi
ja,summit,0.29
ja,shoulder,0.35
ja,back,0.36
ja,foot,0.25
ja,toe,0.27
ja,summit,0.24
ja,shoulder,0.26
ja,back,0.3
ja,foot,0.22
ja,toe,0.29
ja,summit,0.26
ja,shoulder,0.34
ja,back,0.37
ja,foot,0.23
ja,toe,0.23
ja,summit,0.26
ja,shoulder,0.36
ja,back,0.37
ja,foot,0.26
ja,toe,0.19
nej,summit,0.17
nej,shoulder,0.24
nej,back,0.3
nej,foot,0.25
nej,toe,0.18
nej,summit,0.16
nej,shoulder,0.25
nej,back,0.27
nej,foot,0.21
nej,toe,0.19
nej,summit,0.2
nej,shoulder,0.24
nej,back,0.22
nej,foot,0.17
nej,toe,0.17
nej,summit,0.16
nej,shoulder,0.2
nej,back,0.23
nej,foot,0.21
nej,toe,0.16
