Periode,DFF
1933,5.3
1933,5.2
1933,4.9
1933,4.2
1933,5.2
1933,4.4
1933,4.9
1933,3.3
1933,5
1933,4.8
1933,3.3
1933,3.9
1933,3
1933,2.9
1933,5.5
1933,4.8
1933,3.1
1933,5.8
1933,3.4
1933,2.1
1933,5.8
1933,2
1933,2.9
1933,5.8
1933,1.8
1933,3
1933,5.8
1933,3.2
1933,2.2
1933,3.2
1933,5
1933,3.6
1996-2012,7.9
1996-2012,7.6
1996-2012,8.5
1996-2012,6.6
1996-2012,6.1
1996-2012,5.5
1996-2012,4.3
1996-2012,5.9
1996-2012,6
1996-2012,5.3
1996-2012,7.8
1996-2012,9.7
1996-2012,7.8
1996-2012,8.2
1996-2012,6.7
1996-2012,6.2
1996-2012,6.8
1996-2012,5.6
1996-2012,5.8
1996-2012,4.4
1996-2012,5.6
1996-2012,4.9
1996-2012,3.4
1996-2012,4
