"DA","PA","TB","TS","RH","PM","RR","max90","Gruppe"
2252.696,97.4178,3.00467,3,71.67319,6.317267,0.2147651,12440,"A"
573.6006,120.0702,5.945692,6.3,68.82603,10.67501,0.162037,6343,"B"
3676.172,108.1906,4.81517,5.4,69.6034,8.69403,0.1385991,23680,"B"
769.0482,118.0008,4.143458,4.9,68.47412,9.538659,0.2848752,12200,"A"
909.0972,118.8615,3.990672,5.6,68.73347,9.503299,0.2018503,14730,"A"
383.8234,119.2887,2.736979,3.7,68.01348,8.681308,0.3604488,6161,"A"
250.641,135.1456,3.805401,4.9,69.22279,11.2685,0.4083333,6030,"A"
190.9188,108.3276,5.876136,6.1,67.14903,8.722023,0.2135593,2647,"B"
31.2984,112.1979,8.19605,8.3,71.04269,9.37407,0.3548387,501.1,"B"
222.4566,112.4363,6.165008,6.5,67.88107,8.37516,0.2803347,2415,"B"
70.25372,128.4395,8.520348,8.8,66,10.93516,0.3381295,1226,"C"
77.85271,129.6578,8.821647,9.3,66.01418,11.46909,0.4827586,1205,"C"
195.1299,119.3264,4.524818,4.6,67.6162,8.705332,0.2810734,2557,"B"
228.5543,139.1986,4.08294,5.6,72.82279,10.94517,0.2170543,3989,"B"
246.3333,109.6005,4.98773,5.7,66.66979,7.66736,0.2965909,2060,"B"
49.70559,120.881,6.675987,7,65.56186,10.04006,0.2600733,539.4,"B"
230.6412,131.4055,6.596874,7.3,66.91585,11.05839,0.5602094,4947,"B"
243.495,143.5082,7.326162,7.5,65.77928,11.90801,0.5846702,5803,"B"
53.919,134.8062,7.142975,7.6,66.55692,11.34595,0.6738462,1041,"B"
10.6235,135.677,8.243988,8.3,66,11.68978,0.3719008,289.1,"C"
271.2563,130.3654,9.044242,9.5,65.9826,11.2834,0.5059289,4407,"C"
112.1643,122.7237,6.482723,7.2,68.05445,9.027956,0.3058419,1353,"B"
612.5148,119.0389,5.659544,6,67.99306,9.815281,0.3073446,14810,"B"
99.5688,137.9844,5.865521,6.8,69.5207,11.12637,0.4015402,2062,"B"
424.1025,114.7521,5.907743,6.6,67.20383,9.10078,0.3132992,7343,"B"
64.4517,117.4579,5.841807,6.7,67.91653,8.698228,0.4221922,1365,"B"
85.6287,112.8618,6.510176,6.9,66.67647,8.273298,0.3397436,1311,"B"
859.6809,112.0129,6.641285,7.2,66.24412,8.436639,0.3592085,13420,"B"
